vendor_guid,object_type,title,description,display_name,calculation_method,calculation_int,workflow_state,parent_guids,mastery_points,ratings,,,,,,,
G1.6-8.6,outcome,G1.6-8.6,"Use maps, satellite images, photographs, and other representations to explain relationships between the locations of places and regions and their political, cultural, and economic dynamics.",G1.6-8.6,highest,,active,G1,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
G2,group,G2: Understands human interaction with the environment.,,,,,active,WA-SS-GEOGRAPHY,,,,,,,,,
G2.6-8.6,outcome,G2.6-8.6,Analyze how the environment has affected people and how people have affected the environment in the United States in the past or present.,G2.6-8.6,highest,,active,G2,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
G2.6-8.7,outcome,G2.6-8.7,Explain cultural diffusion in the United States from the past or in the present.,G2.6-8.7,highest,,active,G2,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
G2.6-8.8,outcome,G2.6-8.8,Explain and analyze migration as a catalyst for the growth of the United States in the past or present.,G2.6-8.8,highest,,active,G2,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
G3,group,G3: Understands the geographic context of global issues and events.,,,,,active,WA-SS-GEOGRAPHY,,,,,,,,,
G3.6-8.3,outcome,G3.6-8.3,"Explain how learning about the geography of the United States helps us understand global issues such as diversity, trade, and sustainability.",G3.6-8.3,highest,,active,G3,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
WA-SS-HISTORY,group,History,,,,,active,,,,,,,,,,
H1,group,H1: Understands historical chronology.,,,,,active,WA-SS-HISTORY,,,,,,,,,
H1.6-8.6,outcome,H1.6-8.6,"Explain how themes and developments help to define eras in United States history from 1763 to 1877, including: Fighting for independence (1763-1783); Establishing the new nation (1781-1815); Slavery, expansion, removal, and reform (1801-1850); Civil War and Reconstruction (1850-1877)",H1.6-8.6,highest,,active,H1,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
H2,group,H2: Understands and analyzes causal factors that have shaped major events in history.,,,,,active,WA-SS-HISTORY,,,,,,,,,
H2.6-8.5,outcome,H2.6-8.5,Explain and analyze how individuals and movements have shaped United States history (1763-1877).,H2.6-8.5,highest,,active,H2,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
H2.6-8.6,outcome,H2.6-8.6,Explain and analyze how cultures and cultural and ethnic groups have contributed to United States history (1763-1877).,H2.6-8.6,highest,,active,H2,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
H2.6-8.7,outcome,H2.6-8.7,Explain and analyze how technology and ideas have impacted United States history (1763-1877).,H2.6-8.7,highest,,active,H2,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
H3,group,H3: Understands that there are multiple perspectives and interpretations of historical events.,,,,,active,WA-SS-HISTORY,,,,,,,,,
H3.6-8.4,outcome,H3.6-8.4,Analyze and interpret historical materials from a variety of perspectives in United States history (1763-1877).,H3.6-8.4,highest,,active,H3,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
